operationid,boilerid,productiondate,productionhour,steamtph,steamtemperature,steampressure,pressure_to_temp_ratio
1,1,2026-07-27,08:00:00,35.4,450.0,45.2,0.1004
5,5,2026-07-27,08:00:00,35.2,450.0,45.1,0.1002
9,2,2026-07-28,17:00:00,33.4,449.0,44.8,0.0998
12,2,2026-07-29,20:35:00,35.9,449.0,45.0,0.1002
13,3,2026-07-29,21:15:00,60.3,453.0,45.9,0.1013
14,4,2026-07-29,23:00:00,16.4,449.0,45.8,0.102
15,5,2026-07-29,23:03:00,35.4,439.0,43.3,0.0986
2,2,2026-07-27,09:00:00,35.8,451.0,45.3,0.1004
3,3,2026-07-27,08:00:00,34.6,448.0,44.8,0.1
4,4,2026-07-27,09:00:00,34.9,449.0,44.9,0.1
6,5,2026-07-28,14:00:00,35.8,450.0,44.2,0.0982
7,3,2026-07-28,14:35:00,37.2,449.0,46.3,0.1031
8,1,2026-07-28,16:05:00,60.3,453.0,45.9,0.1013
10,4,2026-07-28,19:08:00,36.1,447.0,45.1,0.1009
11,5,2026-07-29,20:00:00,37.0,450.0,45.2,0.1004
